User_Name,User_ID
CISO - Connectivity Surveillance,1
CiSO - CIM Service,2
CISO - Voice and Signalling Surveillance,3
CSO - Security CIM,4
CISO - IT - CIM,5
IT - OSS BSS DevOps,6
Unknown,7
CISO - Digital Platform Provisioning,8
CiSO - Platform RTFH,9
CISO - Digital and Marketplace Surveillance,10
RE MANDIRI,11
IT - Infra DevOps,12
CIM,13
DICO-IP&CDN,14
IT - ESS DevOps,15
DiSR,16
INFRASTRUKTUR PLANNING & DEVELOPMENT,17
IT OPERATION,18
DIPO,19
DICO-Transport,20
CSO - Security RTFH,21
CSO - Security Surveillance,22
CISO - Voice and Signalling RTFH,23
CISO - Connectivity RTFH,24
DICO-NA3,25
CISO - IT RTFH and Provisioning,26
CISO - Marketplace Provisioning,27
TSG Support,28
TAC-NTX,29
VSO,30
